protocol,port,service,description
TCP,1931,netview-aix-9,AMD SCHED
TCP,1944,netview-aix-10,close-combat
TCP,1945,netview-aix-11,dialogic-elmd
TCP,1946,netview-aix-12,tekpls
TCP,1947,proshare-mc-1,hlserver
TCP,1948,proshare-mc-2,eye2eye
TCP,1949,pdp,ISMA Easdaq Live
TCP,1950,netcomm2,ISMA Easdaq Test
TCP,1951,groupwise,bcs-lmserver
TCP,1952,prolink,mpnjsc
TCP,1953,darcorp-lm,Rapid Base
TCP,1961,microcom-sbp,BTS APPSERVER
TCP,1962,sd-elmd,BIAP-MP
TCP,1963,lanyon-lantern,WebMachine
TCP,1964,ncpm-hip,SOLID E ENGINE
TCP,1965,snaresecure,Tivoli NPM
TCP,1966,n2nremote,Slush
TCP,1967,cvmon,SNS Quote
TCP,1972,nsjtp-ctrl,Cache
TCP,1973,nsjtp-data,Data Link Switching Remote Access Protocol
TCP,1974,firefox,DRP
TCP,1975,ng-umds,TCO Flash Agent
TCP,1976,empire-empuma,TCO Reg Agent
TCP,1977,sstsys-lm,TCO Address Book
TCP,1978,rrirtr,UniSQL
TCP,1979,rrimwm,UniSQL Java
TCP,1984,rrilwm,BB
TCP,1985,rrifmm,Hot Standby Router Protocol
TCP,1986,rrisat,cisco license management
TCP,1987,rsvp-encap-1,cisco RSRB Priority 1 port
TCP,1988,rsvp-encap-2,cisco RSRB Priority 2 port
TCP,1989,mps-raft,MHSnet system
TCP,1990,l2tp,cisco STUN Priority 1 port
TCP,1991,deskshare,cisco STUN Priority 2 port
TCP,1992,hb-engine,IPsendmsg
TCP,1993,bcs-broker,cisco SNMP TCP port
TCP,1994,slingshot,cisco serial tunnel port
TCP,1995,jetform,cisco perf port
TCP,1996,vdmplay,cisco Remote SRB port
TCP,1997,gat-lmd,cisco Gateway Discovery Protocol
TCP,1998,centra,cisco X.25 service (XOT)
TCP,1999,impera,cisco identification port / SubSeven (Windows Trojan) / Backdoor (Windows Trojan)
TCP,2000,pptconference,Remotely Anywhere / VIA NET.WORKS PostOffice Plus
TCP,2001,registrar,Cisco mgmt / Remotely Anywhere
TCP,2002,conferencetalk,globe
TCP,2003,sesi-lm,GNU finger
TCP,2004,houdini-lm,mailbox
TCP,2005,xmsg,encrypted symmetric telnet/login
TCP,2006,fj-hdnet,invokator
TCP,2007,h323gatedisc,dectalk
TCP,2008,h323gatestat,conf
TCP,2009,h323hostcall,news
TCP,2010,caicci,search
TCP,2011,hks-lm,raid
TCP,2012,pptp,ttyinfo
TCP,2013,csbphonemaster,raid-am
TCP,2014,iden-ralp,troff
TCP,2015,iberiagames,cypress
TCP,2016,winddx,bootserver
TCP,2017,telindus,cypress-stat
TCP,2018,citynl,terminaldb
TCP,2019,roketz,whosockami
TCP,2020,msiccp,xinupageserver
TCP,2021,proxim,servexec
TCP,2022,siipat,down
TCP,2023,cambertx-lm,xinuexpansion3
TCP,2024,privatechat,xinuexpansion4
TCP,2025,street-stream,ellpack
TCP,2026,ultimad,scrabble
TCP,2027,gamegen1,shadowserver
TCP,2028,webaccess,submitserver
TCP,2030,encore,device2
TCP,2032,cisco-net-mgmt,blackboard
TCP,2033,3Com-nsd,glogger
TCP,2034,cinegrfx-lm,scoremgr
TCP,2035,ncpm-ft,imsldoc
TCP,2038,remote-winsock,objectmanager
TCP,2040,ftrapid-1,lam
TCP,2041,ftrapid-2,W32.Korgo Worm / interbase
TCP,2042,oracle-em1,isis
TCP,2043,aspen-services,isis-bcast
TCP,2044,sslp,rimsl
TCP,2045,swiftnet,cdfunc
TCP,2046,lofr-lm,sdfunc
TCP,2047,,dls
TCP,2048,oracle-em2,dls-monitor
TCP,2049,ms-streaming,Network File System - Sun Microsystems
TCP,2053,capfast-lmd,Kerberos de-multiplexer
TCP,2054,cnhrp,distrib-net
TCP,2065,tftp-mcast,Data Link Switch Read Port Number
TCP,2067,spss-lm,Data Link Switch Write Port Number
TCP,2080,www-ldap-gw,Wingate
TCP,2090,cft-0,Load Report Protocol
TCP,2091,cft-1,PRP
TCP,2092,cft-2,Descent 3
TCP,2093,cft-3,NBX CC
TCP,2094,cft-4,NBX AU
TCP,2095,cft-5,NBX SER
TCP,2096,cft-6,NBX DIR
TCP,2097,cft-7,Jet Form Preview
TCP,2098,bmc-net-adm,Dialog Port
TCP,2099,bmc-net-svc,H.225.0 Annex G
TCP,2100,vaultbase,amiganetfs
TCP,2101,essweb-gw,Microsoft Message Queuing / rtcm-sc104
TCP,2102,kmscontrol,Zephyr server
TCP,2103,global-dtserv,Microsoft Message Queuing RPC / Zephyr serv-hm connection
TCP,2104,,Zephyr hostmanager
TCP,2105,femis,Microsoft Message Queuing RPC / MiniPay
TCP,2106,powerguardian,MZAP
TCP,2107,prodigy-intrnet,Microsoft Message Queuing Management / BinTec Admin
TCP,2108,pharmasoft,Comcam
TCP,2109,dpkeyserv,Ergolight
TCP,2110,answersoft-lm,UMSP
TCP,2111,hp-hcip,DSATP
TCP,2112,,Idonix MetaNet
TCP,2113,finle-lm,HSL StoRM
TCP,2114,windlm,NEWHEIGHTS
TCP,2115,funk-logger,KDM / Bugs (Windows Trojan)
TCP,2116,funk-license,CCOWCMR
TCP,2117,psmond,MENTACLIENT
TCP,2118,hello,MENTASERVER
TCP,2119,nmsp,GSIGATEKEEPER
TCP,2120,ea1,Quick Eagle Networks CP
TCP,2121,ibm-dt-2,CCProxy FTP / SCIENTIA-SSDB
TCP,2122,rsc-robot,CauPC Remote Control
TCP,2123,cera-bcm,GTP-Control Plane (3GPP)
TCP,2124,dpi-proxy,ELATELINK
TCP,2125,vocaltec-admin,LOCKSTEP
TCP,2126,uma,PktCable-COPS
TCP,2127,etp,INDEX-PC-WB
TCP,2128,netrisk,Net Steward Control
TCP,2129,ansys-lm,cs-live.com
TCP,2130,msmq,SWC-XDS
TCP,2131,concomp1,Avantageb2b
TCP,2132,hp-hcip-gwy,AVAIL-EPMAP
TCP,2133,enl,ZYMED-ZPP
TCP,2134,enl-name,AVENUE
TCP,2135,musiconline,Grid Resource Information Server
TCP,2136,fhsp,APPWORXSRV
TCP,2137,oracle-vp2,CONNECT
TCP,2138,oracle-vp1,UNBIND-CLUSTER
TCP,2139,jerand-lm,IAS-AUTH
TCP,2140,scientia-sdb,IAS-REG
TCP,2141,radius,IAS-ADMIND
TCP,2142,radius-acct,TDM-OVER-IP
TCP,2143,tdp-suite,Live Vault Job Control
TCP,2144,mmpft,Live Vault Fast Object Transfer
TCP,2145,harp,Live Vault Remote Diagnostic Console Support
TCP,2146,rkb-oscs,Live Vault Admin Event Notification
TCP,2147,etftp,Live Vault Authentication
TCP,2148,veritas-ucl,VERITAS UNIVERSAL COMMUNICATION LAYER
TCP,2149,acptsys,ACPTSYS
TCP,2150,donnyworld,DYNAMIC3D
TCP,2151,es-elmd,DOCENT
TCP,2152,unisys-lm,GTP-User Plane (3GPP)
TCP,2165,metrics-pas,X-Bone API
TCP,2166,iwserver,IWSERVER
TCP,2179,vmrdp,Microsoft RDP for virtual machines
TCP,2180,ardt,Millicent Vendor Gateway Server
TCP,2181,asi,eforward
TCP,2190,itm-mcell-u,TiVoConnect Beacon
TCP,2191,optika-emedia,TvBus Messaging
TCP,2200,net8-cman,ICI
TCP,2201,myrtle,Advanced Training System Program
TCP,2202,tht-treasure,Int. Multimedia Teleconferencing Cosortium
TCP,2213,udpradio,Kali
TCP,2220,ardusuni,Ganymede
TCP,2221,ardusmul,Rockwell CSP1
TCP,2222,ste-smsc,Rockwell CSP2
TCP,2223,csoft1,Rockwell CSP3
TCP,2232,talnet,IVS Video default
TCP,2233,netopia-vo1,INFOCRYPT
TCP,2234,netopia-vo2,DirectPlay
TCP,2235,netopia-vo3,Sercomm-WLink
TCP,2236,netopia-vo4,Nani
TCP,2237,netopia-vo5,Optech Port1 License Manager
TCP,2238,direcpc-dll,AVIVA SNA SERVER
TCP,2239,altalink,Image Query
TCP,2240,tunstall-pnc,RECIPe
TCP,2241,slp-notify,IVS Daemon
TCP,2242,fjdocdist,Folio Remote Server
TCP,2243,alpha-sms,Magicom Protocol
TCP,2244,gsi,NMS Server
TCP,2245,ctcd,HaO
TCP,2279,virtual-time,xmquery
TCP,2280,vids-avtp,LNVPOLLER
TCP,2281,buddy-draw,LNVCONSOLE
TCP,2282,fiorano-rtrsvc,LNVALARM
TCP,2283,fiorano-msgsvc,Dumaru.Y (Windows trojan) / LNVSTATUS
TCP,2284,datacaptor,LNVMAPS
TCP,2285,privateark,LNVMAILMON
TCP,2286,gammafetchsvr,NAS-Metering
TCP,2287,sunscalar-svc,DNA
TCP,2288,lecroy-vicp,NETML
TCP,2294,mysql-cm-agent,Konshus License Manager (FLEX)
TCP,2295,msnp,Advant License Manager
TCP,2296,paradym-31port,Theta License Manager (Rainbow)
TCP,2297,entp,D2K DataMover 1
TCP,2298,swrmi,D2K DataMover 2
TCP,2299,udrive,PC Telecommute
TCP,2300,viziblebrowser,CVMMON
TCP,2301,transact,Compaq HTTP
TCP,2302,sunscalar-dns,Bindery Support
TCP,2303,canocentral0,Proxy Gateway
TCP,2304,canocentral1,Attachmate UTS
TCP,2305,fjmpjps,MT ScaleServer
TCP,2306,fjswapsnp,TAPPI BoxNet
TCP,2307,westell-stats,pehelp
TCP,2308,ewcappsrv,sdhelp
TCP,2309,hp-webqosdb,SD Server
TCP,2310,drmsmc,SD Client
TCP,2311,nettgain-nms,Message Service
TCP,2313,vsat-control,IAPP (Inter Access Point Protocol)
TCP,2314,ibm-mqseries2,CR WebSystems
TCP,2315,ecsqdmn,Precise Sft.
TCP,2316,mqtt,SENT License Manager
TCP,2317,idmaps,Attachmate G32
TCP,2318,vrtstrapserver,Cadence Control
TCP,2319,leoip,InfoLibria
TCP,2320,filex-lport,Siebel NS
TCP,2321,ncconfig,RDLAP over UDP
TCP,2322,unify-adapter,ofsd
TCP,2323,wilkenlistener,3d-nfsd
TCP,2324,childkey-notif,Cosmocall
TCP,2325,childkey-ctrl,Design Space License Management
TCP,2326,elad,IDCP
TCP,2327,o2server-port,xingcsm
TCP,2328,b-novative-ls,Netrix SFTM
TCP,2329,metaagent,NVD
TCP,2330,cymtec-port,TSCCHAT
TCP,2331,mc2studios,AGENTVIEW
TCP,2332,ssdp,RCC Host
TCP,2333,fjicl-tep-a,SNAPP
TCP,2334,fjicl-tep-b,ACE Client Auth
TCP,2335,linkname,ACE Proxy
TCP,2336,fjicl-tep-c,Apple UG Control
TCP,2337,sugp,ideesrv
TCP,2338,tpmd,Norton Lambert
TCP,2339,intrastar,3Com WebView
TCP,2340,dawn,WRS Registry
TCP,2341,global-wlink,XIO Status
TCP,2342,ultrabac,Seagate Manage Exec
TCP,2343,mtp,nati logos
TCP,2344,rhp-iibp,fcmsys
TCP,2345,armadp,dbm
TCP,2346,elm-momentum,Game Connection Port
TCP,2347,facelink,Game Announcement and Location
TCP,2348,persona,Information to query for game status
TCP,2349,noagent,Diagnostics Port
TCP,2350,can-nds,psbserver
TCP,2351,can-dch,psrserver
TCP,2352,can-ferret,pslserver
TCP,2353,noadmin,pspserver
TCP,2354,tapestry,psprserver
TCP,2355,spice,psdbserver
TCP,2356,xiip,GXT License Managemant
TCP,2357,discovery-port,UniHub Server
TCP,2358,egs,Futrix
TCP,2359,videte-cipc,FlukeServer
TCP,2360,emsd-port,NexstorIndLtd
TCP,2361,bandwiz-system,TL1
TCP,2362,driveappserver,digiman
TCP,2363,amdsched,Media Central NFSD
TCP,2364,ctt-broker,OI-2000
TCP,2365,xmapi,dbref
TCP,2366,xaapi,qip-login
TCP,2367,macromedia-fcs,Service Control
TCP,2368,jetcmeserver,OpenTable
TCP,2369,jwserver,ACS2000 DSP
TCP,2370,jwclient,L3-HBMon
TCP,2381,jvserver,Compaq HTTPS
TCP,2382,jvclient,Microsoft OLAP
TCP,2383,dic-aida,Microsoft OLAP
TCP,2384,res,SD-REQUEST
TCP,2389,beeyond-media,OpenView Session Mgr
TCP,2390,close-combat,RSMTP
TCP,2391,dialogic-elmd,3COM Net Management
TCP,2392,tekpls,Tactical Auth
TCP,2393,sentinelsrm,MS OLAP 1
TCP,2394,eye2eye,MS OLAP 2
TCP,2395,ismaeasdaqlive,LAN900 Remote
TCP,2396,ismaeasdaqtest,Wusage
TCP,2397,bcs-lmserver,NCL
TCP,2398,mpnjsc,Orbiter
TCP,2399,rapidbase,FileMaker Inc. - Data Access Layer
TCP,2400,abr-api,OpEquus Server
TCP,2401,abr-secure,cvspserver
TCP,2402,vrtl-vmf-ds,TaskMaster 2000 Server
TCP,2403,unix-status,TaskMaster 2000 Web
TCP,2404,dxadmind,IEC870-5-104
TCP,2405,simp-all,TRC Netpoll
TCP,2406,nasmanager,JediServer
TCP,2407,bts-appserver,Orion
TCP,2408,biap-mp,OptimaNet
TCP,2409,webmachine,SNS Protocol
TCP,2410,solid-e-engine,VRTS Registry
TCP,2411,tivoli-npm,Netwave AP Management
TCP,2412,slush,CDN
TCP,2413,sns-quote,orion-rmi-reg
TCP,2414,lipsinc,Interlingua
TCP,2415,lipsinc1,COMTEST
TCP,2416,netop-rc,RMT Server
TCP,2417,netop-school,Composit Server
TCP,2418,intersys-cache,cas
TCP,2419,dlsrap,Attachmate S2S
TCP,2420,drp,DSL Remote Management
TCP,2421,tcoflashagent,G-Talk
TCP,2422,tcoregagent,CRMSBITS
TCP,2423,tcoaddressbook,RNRP
TCP,2424,unisql,KOFAX-SVR
TCP,2425,unisql-java,Fujitsu App Manager
TCP,2426,pearldoc-xact,Appliant TCP
TCP,2427,p2pq,Media Gateway Control Protocol Gateway
TCP,2428,estamp,One Way Trip Time
TCP,2429,lhtp,FT-ROLE
TCP,2430,bb,venus
TCP,2431,hsrp,venus-se
TCP,2432,licensedaemon,codasrv
TCP,2433,tr-rsrb-p1,codasrv-se
TCP,2434,tr-rsrb-p2,pxc-epmap
TCP,2435,mshnet,OptiLogic
TCP,2436,stun-p1,TOP/X
TCP,2437,stun-p2,UniControl
TCP,2438,ipsendmsg,MSP
TCP,2439,snmp-tcp-port,SybaseDBSynch
TCP,2440,stun-port,Spearway Lockers
TCP,2441,perf-port,pvsw-inet
TCP,2442,tr-rsrb-port,Netangel
TCP,2443,gdp-port,PowerClient Central Storage Facility
TCP,2444,x25-svc-port,BT PP2 Sectrans
TCP,2445,tcp-id-port,DTN1
TCP,2446,cisco-sccp,bues_service
TCP,2447,wizard,OpenView NNM daemon
TCP,2448,globe,hpppsvr
TCP,2449,brutus,RATL
TCP,2450,emce,netadmin
TCP,2451,oracle,netchat
TCP,2452,raid-cd,SnifferClient
TCP,2453,raid-am,madge-om
TCP,2454,terminaldb,IndX-DDS
TCP,2455,whosockami,WAGO-IO-SYSTEM
TCP,2456,pipe_server,altav-remmgt
TCP,2457,servserv,Rapido_IP
TCP,2458,raid-ac,griffin
TCP,2459,raid-cd,Community
TCP,2460,raid-sf,ms-theater
TCP,2461,raid-cs,qadmifoper
TCP,2462,bootserver,qadmifevent
TCP,2463,bootclient,Symbios Raid
TCP,2464,rellpack,DirecPC SI
TCP,2465,about,Load Balance Management
TCP,2466,xinupageserver,Load Balance Forwarding
TCP,2467,xinuexpansion1,High Criteria
TCP,2468,xinuexpansion2,qip_msgd
TCP,2469,xinuexpansion3,MTI-TCS-COMM
TCP,2470,xinuexpansion4,taskman port
TCP,2471,xribs,SeaODBC
TCP,2472,scrabble,C3
TCP,2473,shadowserver,Aker-cdp
TCP,2474,submitserver,Vital Analysis
TCP,2475,hsrpv6,ACE Server
TCP,2476,device2,ACE Server Propagation
TCP,2477,mobrien-chat,SecurSight Certificate Valifation Service
TCP,2478,blackboard,SecurSight Authentication Server (SLL)
TCP,2479,glogger,SecurSight Event Logging Server (SSL)
TCP,2480,scoremgr,Lingwood's Detail
TCP,2481,imsldoc,Oracle GIOP
TCP,2482,e-dpnet,Oracle GIOP SSL
TCP,2483,applus,Oracle TTC
TCP,2484,objectmanager,Oracle TTC SSL
TCP,2485,prizma,Net Objects1
TCP,2486,lam,Net Objects2
TCP,2487,interbase,Policy Notice Service
TCP,2488,isis,Moy Corporation
TCP,2489,isis-bcast,TSILB
TCP,2490,rimsl,qip_qdhcp
TCP,2491,cdfunc,Conclave CPP
TCP,2492,sdfunc,GROOVE
TCP,2493,dls,Talarian MQS
TCP,2494,dls-monitor,BMC AR
TCP,2495,nfs,Fast Remote Services
TCP,2496,av-emb-config,DIRGIS
TCP,2497,epnsdp,Quad DB
TCP,2498,clearvisn,ODN-CasTraq
TCP,2499,lot105-ds-upd,UniControl
TCP,2500,weblogin,Resource Tracking system server
TCP,2501,iop,Resource Tracking system client
TCP,2502,omnisky,Kentrox Protocol
TCP,2503,rich-cp,NMS-DPNSS
TCP,2504,newwavesearch,WLBS
TCP,2505,bmc-messaging,torque-traffic
TCP,2506,teleniumdaemon,jbroker
TCP,2507,netmount,spock
TCP,2508,icg-swp,JDataStore
TCP,2509,icg-bridge,fjmpss
TCP,2510,icg-iprelay,fjappmgrbulk
TCP,2511,dlsrpn,Metastorm
TCP,2512,aura,Citrix IMA
TCP,2513,dlswpn,Citrix ADMIN
TCP,2514,avauthsrvprtcl,Facsys NTP
TCP,2515,event-port,Facsys Router
TCP,2516,ah-esp-encap,Main Control
TCP,2517,acp-port,H.323 Annex E call signaling transport
TCP,2518,msync,Willy
TCP,2519,gxs-data-port,globmsgsvc
TCP,2520,vrtl-vmf-sa,pvsw
TCP,2521,newlixengine,Adaptec Manager
TCP,2522,newlixconfig,WinDb
TCP,2523,tsrmagt,Qke LLC V.3
TCP,2524,tpcsrvr,Optiwave License Management
TCP,2525,idware-router,MS V-Worlds
TCP,2526,autodesk-nlm,EMA License Manager
TCP,2527,kme-trap-port,IQ Server
TCP,2528,infowave,NCR CCL
TCP,2529,radsec,UTS FTP
TCP,2530,sunclustergeo,VR Commerce
TCP,2531,ada-cip,ITO-E GUI
TCP,2532,gnunet,OVTOPMD
TCP,2533,eli,SnifferServer
TCP,2534,ip-blf,Combox Web Access
TCP,2535,sep,W32.Beagle trojan / MADCAP
TCP,2536,lrp,btpp2audctr1
TCP,2537,prp,Upgrade Protocol
TCP,2538,descent3,vnwk-prapi
TCP,2539,nbx-cc,VSI Admin
TCP,2540,nbx-au,LonWorks
TCP,2541,nbx-ser,LonWorks2
TCP,2542,nbx-dir,daVinci
TCP,2543,jetformpreview,REFTEK
TCP,2544,dialog-port,Novell ZEN
TCP,2545,h2250-annex-g,sis-emt
TCP,2546,amiganetfs,vytalvaultbrtp
TCP,2547,rtcm-sc104,vytalvaultvsmp
TCP,2548,zephyr-srv,vytalvaultpipe
TCP,2549,zephyr-clt,IPASS
TCP,2550,zephyr-hm,ADS
TCP,2551,minipay,ISG UDA Server
TCP,2552,mzap,Call Logging
TCP,2553,bintec-admin,efidiningport
TCP,2554,comcam,VCnet-Link v10
TCP,2555,ergolight,Compaq WCP
TCP,2556,umsp,W32.Beagle.N trojan / MADCAP / nicetec-nmsvc
TCP,2557,dsatp,nicetec-mgmt
TCP,2558,idonix-metanet,PCLE Multi Media
TCP,2559,hsl-storm,LSTP
TCP,2560,ariascribe,labrat
TCP,2561,kdm,MosaixCC
TCP,2562,ccowcmr,Delibo
TCP,2563,mentaclient,CTI Redwood
TCP,2564,mentaserver,HP 3000 NS/VT block mode telnet
TCP,2565,gsigatekeeper,Coordinator Server
TCP,2566,qencp,pcs-pcw
TCP,2567,scientia-ssdb,Cisco Line Protocol
TCP,2568,caupc-remote,SPAM TRAP
TCP,2569,gtp-control,Sonus Call Signal
TCP,2570,elatelink,HS Port
TCP,2571,lockstep,CECSVC
TCP,2572,pktcable-cops,IBP
TCP,2573,index-pc-wb,Trust Establish
TCP,2574,net-steward,Blockade BPSP
TCP,2575,cs-live,HL7
TCP,2576,xds,TCL Pro Debugger
TCP,2577,avantageb2b,Scriptics Lsrvr
TCP,2578,solera-epmap,RVS ISDN DCP
TCP,2579,zymed-zpp,mpfoncl
TCP,2580,avenue,Tributary
TCP,2581,gris,ARGIS TE
TCP,2582,appworxsrv,ARGIS DS
TCP,2583,connect,MON / Wincrash2
TCP,2584,unbind-cluster,cyaserv
TCP,2585,ias-auth,NETX Server
TCP,2586,ias-reg,NETX Agent
TCP,2587,ias-admind,MASC
TCP,2588,tdmoip,Privilege
TCP,2589,lv-jc,quartus tcl
TCP,2590,lv-ffx,idotdist
TCP,2591,lv-pici,Maytag Shuffle
TCP,2592,lv-not,netrek
TCP,2593,lv-auth,MNS Mail Notice Service
TCP,2594,veritas-ucl,Data Base Server
TCP,2595,acptsys,World Fusion 1
TCP,2596,dynamic3d,World Fusion 2
TCP,2597,docent,Homestead Glory
TCP,2598,gtp-user,Citrix MA Client
TCP,2599,ctlptc,Meridian Data
TCP,2600,stdptc,HPSTGMGR
TCP,2601,brdptc,discp client
TCP,2602,trp,discp server
TCP,2603,xnds,Service Meter
TCP,2604,touchnetplus,NSC CCS
TCP,2605,gdbremote,NSC POSA
TCP,2606,apc-2160,Dell Netmon
TCP,2607,apc-2161,Dell Connection
TCP,2608,navisphere,Wag Service
TCP,2609,navisphere-sec,System Monitor
TCP,2610,ddns-v3,VersaTek
TCP,2611,x-bone-api,LIONHEAD
TCP,2612,iwserver,Qpasa Agent
TCP,2613,raw-serial,SMNTUBootstrap
TCP,2614,easy-soft-mux,Never Offline
TCP,2615,brain,firepower
TCP,2616,eyetv,appswitch-emp
TCP,2617,msfw-storage,Clinical Context Managers
TCP,2618,msfw-s-storage,Priority E-Com
TCP,2619,msfw-replica,bruce
TCP,2620,msfw-array,LPSRecommender
TCP,2621,airsync,Miles Apart Jukebox Server
TCP,2622,rapi,MetricaDBC
TCP,2623,qwave,LMDP
TCP,2624,bitspeer,Aria
TCP,2625,vmrdp,Blwnkl Port
TCP,2626,mc-gt-srv,gbjd816
TCP,2627,eforward,Moshe Beeri
TCP,2628,cgn-stat,DICT
TCP,2629,cgn-config,Sitara Server
TCP,2630,nvd,Sitara Management
TCP,2631,onbase-dds,Sitara Dir
TCP,2632,gtaua,IRdg Post
TCP,2633,ssmd,InterIntelli
TCP,2634,,PK Electronics
TCP,2635,,Back Burner
TCP,2636,tivoconnect,Solve
TCP,2637,tvbus,Import Document Service
TCP,2638,asdis,Sybase Anywhere
TCP,2639,drwcs,AMInet
TCP,2640,mnp-exchange,Sabbagh Associates Licence Manager
TCP,2641,onehome-remote,HDL Server
TCP,2642,onehome-help,Tragic
TCP,2643,ici,GTE-SAMP
TCP,2644,ats,Travsoft IPX Tunnel
TCP,2645,imtc-map,Novell IPX CMD
TCP,2646,b2-runtime,AND Licence Manager
TCP,2647,b2-license,SyncServer
TCP,2648,jps,Upsnotifyprot
TCP,2649,hpocbus,VPSIPPORT
TCP,2650,hpssd,eristwoguns
TCP,2651,hpiod,EBInSite
TCP,2652,rimf-ps,InterPathPanel
TCP,2653,noaaport,Sonus
TCP,2654,emwin,Corel VNC Admin
TCP,2655,leecoposserver,UNIX Nt Glue
TCP,2656,kali,Kana
TCP,2657,rpi,SNS Dispatcher
TCP,2658,ipcore,SNS Admin
TCP,2659,vtu-comms,SNS Query
TCP,2660,gotodevice,GC Monitor
TCP,2661,bounzza,OLHOST
TCP,2662,netiq-ncap,BinTec-CAPI
TCP,2663,netiq,BinTec-TAPI
TCP,2664,ethernet-ip-s,Command MQ GM
TCP,2665,EtherNet/IP-1,Command MQ PM
TCP,2666,rockwell-csp2,extensis
TCP,2667,efi-mg,Alarm Clock Server
TCP,2668,rcip-itu,Alarm Clock Client
TCP,2669,di-drm,TOAD
TCP,2670,di-msg,TVE Announce
TCP,2671,ehome-ms,newlixreg
TCP,2672,datalens,nhserver
TCP,2673,queueadm,First Call 42
TCP,2674,wimaxasncp,ewnn
TCP,2675,ivs-video,TTC ETAP
TCP,2676,infocrypt,SIMSLink
TCP,2677,directplay,Gadget Gate 1 Way
TCP,2678,sercomm-wlink,Gadget Gate 2 Way
TCP,2679,nani,Sync Server SSL
TCP,2680,optech-port1-lm,pxc-sapxom
TCP,2681,aviva-sna,mpnjsomb
TCP,2682,imagequery,SRSP
TCP,2683,recipe,NCDLoadBalance
TCP,2684,ivsd,mpnjsosv
TCP,2685,foliocorp,mpnjsocl
TCP,2686,magicom,mpnjsomg
TCP,2687,nmsserver,pq-lic-mgmt
TCP,2688,hao,md-cf-HTTP
TCP,2689,pc-mta-addrmap,FastLynx
TCP,2690,antidotemgrsvr,HP NNM Embedded Database
TCP,2691,ums,IT Internet
TCP,2692,rfmp,Admins LMS
TCP,2693,remote-collab,belarc-HTTP
TCP,2694,dif-port,pwrsevent
TCP,2695,njenet-ssl,VSPREAD
TCP,2696,dtv-chan-req,Unify Admin
TCP,2697,seispoc,Oce SNMP Trap Port
TCP,2698,vrtp,MCK-IVPIP
TCP,2699,pcc-mfp,Csoft Plus Client
TCP,2700,simple-tx-rx,tqdata
TCP,2701,rcts,SMS Remote Control (control)
TCP,2702,apc-2260,SMS Remote Control (data)
TCP,2703,comotionmaster,SMS Remote Control (chat)
TCP,2704,comotionback,SMS Remote File Transfer
TCP,2705,ecwcfg,SDS Admin
TCP,2706,apx500api-1,NCD Mirroring
TCP,2707,apx500api-2,EMCSYMAPIPORT
TCP,2708,mfserver,Banyan-Net
TCP,2709,ontobroker,Supermon
TCP,2710,amt,SSO Service
TCP,2711,mikey,SSO Control
TCP,2712,starschool,Axapta Object Communication Protocol
TCP,2713,mmcals,Raven1
TCP,2714,mmcal,Raven2
TCP,2715,mysql-im,HPSTGMGR2
TCP,2716,pcttunnell,Inova IP Disco
TCP,2717,ibridge-data,PN REQUESTER
TCP,2718,ibridge-mgmt,PN REQUESTER 2
TCP,2719,bluectrlproxy,Scan & Change
TCP,2720,s3db,wkars
TCP,2721,xmquery,Smart Diagnose
TCP,2722,lnvpoller,Proactive Server
TCP,2723,lnvconsole,WatchDog NT
TCP,2724,lnvalarm,qotps
TCP,2725,lnvstatus,SQL Analysis Services / MSOLAP PTP2
TCP,2726,lnvmaps,TAMS
TCP,2727,lnvmailmon,Media Gateway Control Protocol Call Agent
TCP,2728,nas-metering,SQDR
TCP,2729,dna,TCIM Control
TCP,2730,netml,NEC RaidPlus
TCP,2731,dict-lookup,NetDragon Messanger
TCP,2732,sonus-logging,G5M
TCP,2733,eapsp,Signet CTF
TCP,2734,mib-streaming,CCS Software
TCP,2735,npdbgmngr,Monitor Console
TCP,2736,konshus-lm,RADWIZ NMS SRV
TCP,2737,advant-lm,SRP Feedback
TCP,2738,theta-lm,NDL TCP-OSI Gateway
TCP,2739,d2k-datamover1,TN Timing
TCP,2740,d2k-datamover2,Alarm
TCP,2741,pc-telecommute,TSB
TCP,2742,cvmmon,TSB2
TCP,2743,cpq-wbem,murx
TCP,2744,binderysupport,honyaku
TCP,2745,proxy-gateway,W32.Beagle.C trojan) / URBISNET
TCP,2746,attachmate-uts,CPUDPENCAP
TCP,2747,mt-scaleserver,yk.fujitsu.co.jp
TCP,2748,tappi-boxnet,yk.fujitsu.co.jp
TCP,2749,pehelp,yk.fujitsu.co.jp
TCP,2750,sdhelp,yk.fujitsu.co.jp
TCP,2751,sdserver,yk.fujitsu.co.jp
TCP,2752,sdclient,RSISYS ACCESS
TCP,2753,messageservice,de-spot
TCP,2754,wanscaler,APOLLO CC
TCP,2755,iapp,Express Pay
TCP,2756,cr-websystems,simplement-tie
TCP,2757,precise-sft,CNRP
TCP,2758,sent-lm,APOLLO Status
TCP,2759,attachmate-g32,APOLLO GMS
TCP,2760,cadencecontrol,Saba MS
TCP,2761,infolibria,DICOM ISCL
TCP,2762,siebel-ns,DICOM TLS
TCP,2763,rdlap,Desktop DNA
TCP,2764,ofsd,Data Insurance
TCP,2765,3d-nfsd,qip-audup
TCP,2766,cosmocall,Compaq SCP
TCP,2767,ansysli,UADTC
TCP,2768,idcp,UACS
